Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Shane Bieber","CLE",5.9477,5.4153,8.0265,3.60026,26.58,14.58,0,0.6532,97.664,406.619,93.1995,42.6481,39.0684,11.2314,23.4366,,3.2997,98.276,9.0564,2.15975,4.19327,1.035,0.241691,0.0576377,0.18405289575457573,0.245338,1.19426,0.303164,0.733192,0.466259,,3.47022,1.57638,1.49707,433.3999938964844,,,,"19427"
"Bowden Francis","TOR",8.9969,10.0993,12.6404,4.334,27.54,27.54,0,0,158.484,674.402,153.493,81.4161,76.319,25.7273,44.0256,,8.6559,145.62,8.26943,2.50012,3.30761,1.461,0.215924,0.065281,0.15064295381307602,0.246884,1.2463,0.283688,0.718899,0.344517,,4.43639,1.55726,1.40544,209.47000122070312,,,,"20548"
"Shane Baz","TBR",8.6754,9.9088,10.8279,4.23451,43.3,24.3,0,0.6725,156.519,669.962,147.835,79.0934,73.6425,21.7736,58.2321,,7.1874,149.774,8.61214,3.3484,2.57202,1.252,0.223556,0.0869185,0.13663730025291443,0.244541,1.31656,0.291139,0.723151,0.395565,,4.31501,1.54566,1.24694,165.47000122070312,,,,"22264"
"Yariel Rodríguez","TOR",7.4083,7.4534,6.8763,3.94749,49.82,17.82,0,0.6413,123.924,528.02,110.274,58.5436,54.3543,15.8347,48.8288,,5.1286,132.574,9.62823,3.5462,2.71508,1.15,0.251078,0.0924753,0.15860287845134735,0.232615,1.28387,0.289999,0.734362,0.389975,,3.99421,1.54149,1.24011,460.4700012207031,,,,"33838"
"Yariel Rodríguez","TOR",0.0483,0.0496,0,3.94749,1,0,0,0,1,4.338,0.9295,0.503,0.46789,0.126222,0.4434,,0.0499,1.0009,9.62823,3.5462,2.71508,1.15,0.251078,0.0924753,0.15860287845134735,0.232615,1.28387,0.289999,0.734362,0.389975,,3.99421,1.54149,1.24011,460.4700012207031,,,,"33838"
"Mason Miller","ATH",4.0447,2.6169,0,2.46188,68,0,30.351,1.4974,68,270.056,44.3248,20.3142,18.6009,5.53822,23.7959,,2.589,100.131,13.2526,3.14946,4.20791,0.733,0.370778,0.0881147,0.28266357630491257,0.181904,1.00178,0.281058,0.791929,0.370705,,2.44427,1.49246,1.54155,48.470001220703125,,,,"31757"
"Aaron Civale","MIL",8.1336,9.4832,10.5583,4.44687,25.92,25.92,0,0,142.91,616.521,143.536,75.5445,70.6111,23.1672,42.5418,,6.4741,135.112,8.50896,2.67915,3.17599,1.459,0.219153,0.069003,0.15014994889497757,0.252925,1.30207,0.294139,0.719414,0.381284,,4.412,1.48589,1.31093,364.7300109863281,,,,"19479"
"Ryan Weathers","MIA",8.6498,10.5047,12.2616,4.14019,37.92,25.92,0,0.5855,160.894,691.716,158.21,79.9614,74.0145,21.2022,57.9398,,7.2263,143.692,8.0378,3.24101,2.48003,1.186,0.207733,0.0837624,0.12397081404924393,0.25251,1.34343,0.296775,0.730363,0.421602,,4.30849,1.47291,2.10681,381.79998779296875,,,,"23796"
"Justin Verlander",,7.8519,8.9509,10.7651,4.42704,24.3,24.3,0,0,138.98,591.909,139.165,72.8194,68.3635,22.1133,37.3797,,5.9108,116.994,7.57621,2.42061,3.12988,1.432,0.197655,0.0631511,0.13450394570827484,0.253664,1.27028,0.285832,0.712467,0.333,,4.48578,1.45976,1.31658,521.5999755859375,,,,"8700"
"Andre Pallante","STL",9.2438,9.5955,11.4064,4.00332,46.3,24.3,0,0.632,159.215,687.168,163.813,78.1614,70.8211,13.4272,64.1952,,5.7516,117.925,6.66596,3.62878,1.83697,0.759,0.17161,0.0934199,0.0781899094581604,0.265404,1.43207,0.309519,0.71625,0.577346,,4.09945,1.45772,1.77162,496.7300109863281,,,,"26108"
