id,name,pitches,pa,ab,bip,hits,singles,doubles,triples,hr,k,krate,bb,bbrate,whiffs,swings,ba,xba,obp,xobp,slg,xslg,woba,xwoba,babip,whiffrate,ev,langle,hhrate,barrels,barrelbbe,barrelpa,chaserate,krate_p,bbrate_p,xba_p,xslg_p,xwoba_p,whiffrate_p,ev_p,langle_p,hhrate_p,barrelbbe_p,chaserate_p
605346,Jack López,1219,311,277,205,72,49,11,2,10,74,23.8,27,8.7,174,615,0.26,0.212,0.334,0.293,0.422,0.304,0.332,0.271,0.318,28.3,83.1,8.0,27.3,8,3.9,2.6,8.5,0.5415472779369628,0.2335243553008596,0.2593123209169054,0.15759312320916904,0.12750716332378223,0.5802292263610315,0.017191977077363897,0.15329512893982808,0.1346704871060172,0.2607449856733524,0.9699140401146131
678894,Liover Peguero,1216,314,279,216,75,49,17,3,6,70,22.3,27,8.6,168,557,0.269,0.227,0.328,0.297,0.416,0.326,0.323,0.28,0.329,30.2,87.6,10.0,36.6,8,3.7,2.5,5.1,0.45988538681948427,0.22492836676217765,0.4326647564469914,0.2979942693409742,0.17765042979942694,0.7091690544412608,0.42120343839541546,0.24641833810888253,0.4885386819484241,0.23638968481375358,0.5458452722063037
669200,Mason McCoy,1214,304,269,191,59,39,15,1,4,79,26.0,32,10.5,145,548,0.219,0.201,0.306,0.289,0.327,0.264,0.286,0.255,0.294,26.5,84.9,15.0,25.1,2,1.0,0.7,5.0,0.6776504297994269,0.3839541547277937,0.15902578796561603,0.05730659025787966,0.045845272206303724,0.4656160458452722,0.09025787965616046,0.6318051575931232,0.08595988538681948,0.04871060171919771,0.5214899713467048
682668,Luisangel Acuña,1213,354,326,270,87,67,11,4,5,57,16.1,25,7.1,139,634,0.267,0.227,0.322,0.286,0.371,0.318,0.307,0.27,0.309,21.9,88.2,3.0,36.3,10,3.7,2.8,7.7,0.10744985673352435,0.10744985673352435,0.4326647564469914,0.2507163323782235,0.12034383954154727,0.23925501432664756,0.5243553008595988,0.024355300859598854,0.47707736389684813,0.23638968481375358,0.9469914040114613
702616,Jackson Holliday,1209,285,215,152,58,30,20,0,8,64,22.5,68,23.9,127,454,0.27,0.232,0.446,0.417,0.474,0.397,0.407,0.37,0.347,28.0,90.3,8.0,47.4,12,7.9,4.2,2.6,0.4699140401146132,1.0,0.49426934097421205,0.667621776504298,0.9369627507163324,0.5659025787965616,0.8538681948424068,0.15329512893982808,0.9426934097421203,0.667621776504298,0.04154727793696275
665966,Carlos Narvaez,1199,291,238,168,64,38,17,0,9,74,25.4,43,14.8,159,511,0.269,0.224,0.388,0.356,0.454,0.357,0.37,0.324,0.346,31.1,90.5,15.0,43.5,12,7.1,4.1,4.9,0.6332378223495702,0.8123209169054442,0.38108882521489973,0.47564469914040114,0.6246418338108882,0.7435530085959885,0.8767908309455588,0.6318051575931232,0.8065902578796562,0.5902578796561605,0.4828080229226361
690291,Jace Jung,1198,283,230,170,62,32,18,1,11,64,22.6,47,16.6,143,502,0.27,0.235,0.39,0.364,0.5,0.424,0.385,0.348,0.321,28.5,88.0,16.0,35.9,15,8.8,5.3,3.2,0.47707736389684813,0.9126074498567335,0.5415472779369628,0.8080229226361032,0.8409742120343839,0.5916905444126075,0.48567335243553006,0.6977077363896849,0.45415472779369626,0.7349570200573066,0.10744985673352435
695336,Thomas Saggese,1198,320,292,222,71,45,14,3,9,73,22.8,17,5.3,150,640,0.243,0.229,0.3,0.288,0.404,0.368,0.307,0.289,0.291,23.4,87.9,18.0,38.3,11,5.0,3.4,8.2,0.4899713467048711,0.034383954154727794,0.45558739255014324,0.5186246418338109,0.2679083094555874,0.30945558739255014,0.45988538681948427,0.8180515759312321,0.5558739255014327,0.37106017191977075,0.9555873925501432
660758,Sandro Fabian,1195,322,288,253,84,50,21,2,11,37,11.5,26,8.1,97,569,0.292,0.29,0.36,0.36,0.493,0.431,0.369,0.348,0.302,17.0,86.6,14.0,36.0,13,5.1,4.0,7.5,0.04011461318051576,0.17048710601719197,0.9770773638968482,0.832378223495702,0.8409742120343839,0.06446991404011461,0.2836676217765043,0.5601719197707736,0.4656160458452722,0.3868194842406877,0.9383954154727794
689288,Matt Koperniak,1195,307,284,233,90,59,19,0,12,52,16.9,20,6.5,134,590,0.317,0.264,0.365,0.316,0.511,0.416,0.379,0.319,0.353,22.7,89.7,9.0,45.5,13,5.6,4.2,7.0,0.1504297994269341,0.07449856733524356,0.8825214899713467,0.7793696275071633,0.5845272206303725,0.2793696275071633,0.7765042979942693,0.1991404011461318,0.8782234957020058,0.4283667621776504,0.8853868194842407
665052,Griffin Conine,1193,307,269,184,73,40,16,1,16,87,28.3,34,11.1,207,597,0.271,0.249,0.355,0.337,0.517,0.475,0.375,0.35,0.339,34.7,90.3,11.0,44.6,22,12.0,7.2,4.9,0.7736389684813754,0.47421203438395415,0.7349570200573066,0.9369627507163324,0.8610315186246418,0.8810888252148997,0.8538681948424068,0.3223495702005731,0.8510028653295129,0.8997134670487106,0.4828080229226361
694355,Tyler Gentry,1192,276,244,151,52,26,19,1,6,93,33.7,31,11.2,152,485,0.213,0.186,0.304,0.281,0.373,0.308,0.301,0.266,0.317,31.3,87.8,10.0,39.1,14,9.3,5.1,3.5,0.9527220630372493,0.4885386819484241,0.05873925501432665,0.18051575931232092,0.09455587392550144,0.7535816618911175,0.4469914040114613,0.24641833810888253,0.6174785100286533,0.7765042979942693,0.1504297994269341
683748,Victor Mesa Jr.,1185,321,291,225,78,50,14,1,13,69,21.5,26,8.1,185,675,0.268,0.233,0.327,0.296,0.457,0.356,0.34,0.287,0.307,27.4,86.9,12.0,33.8,13,5.8,4.0,5.5,0.40830945558739257,0.17048710601719197,0.5085959885386819,0.4656160458452722,0.23209169054441262,0.5214899713467048,0.3194842406876791,0.3982808022922636,0.3638968481375358,0.45558739255014324,0.6432664756446992
682927,Ronny Simon,1181,308,279,224,82,50,22,2,8,57,18.5,25,8.1,121,551,0.294,0.234,0.354,0.302,0.473,0.339,0.359,0.286,0.343,22.0,89.8,9.0,40.6,13,5.8,4.2,6.3,0.23209169054441262,0.17048710601719197,0.5257879656160458,0.35816618911174786,0.22063037249283668,0.24785100286532952,0.7908309455587392,0.1991404011461318,0.664756446991404,0.45558739255014324,0.7994269340974212
687478,Cam Devanney,1177,299,258,176,61,34,14,1,12,84,28.1,34,11.4,218,615,0.236,0.226,0.334,0.326,0.438,0.409,0.339,0.323,0.299,35.4,87.8,14.0,37.5,16,9.1,5.4,6.6,0.7636103151862464,0.5128939828080229,0.4154727793696275,0.7292263610315186,0.6160458452722063,0.9054441260744985,0.4469914040114613,0.5601719197707736,0.5286532951289399,0.7578796561604585,0.828080229226361
695238,Will Wagner,1175,282,228,205,69,52,11,2,4,28,9.9,47,16.7,71,480,0.303,0.255,0.418,0.386,0.421,0.365,0.373,0.343,0.323,14.8,88.3,9.0,33.7,9,4.4,3.2,4.1,0.01862464183381089,0.9197707736389685,0.8166189111747851,0.505730659025788,0.8094555873925502,0.02865329512893983,0.5487106017191977,0.1991404011461318,0.35816618911174786,0.30515759312320917,0.2793696275071633
694425,Justice Bigbie,1168,306,261,209,68,44,20,1,3,55,18.0,37,12.1,136,527,0.261,0.254,0.359,0.358,0.379,0.395,0.331,0.337,0.316,25.8,89.9,7.0,42.6,12,5.7,3.9,5.0,0.1977077363896848,0.5931232091690545,0.7994269340974212,0.6532951289398281,0.7550143266475645,0.4340974212034384,0.8037249283667621,0.11318051575931232,0.7621776504297995,0.43982808022922637,0.5214899713467048
680672,Luke Waddell,1167,286,251,213,60,44,10,4,2,41,14.3,26,9.1,86,539,0.239,0.239,0.319,0.321,0.335,0.313,0.294,0.288,0.275,16.0,85.1,11.0,24.4,3,1.4,1.0,4.6,0.06876790830945559,0.2722063037249284,0.6160458452722063,0.2148997134670487,0.2507163323782235,0.04871060171919771,0.10888252148997135,0.3223495702005731,0.06876790830945559,0.0673352435530086,0.39111747851002865
669743,Alex Call,1158,265,214,163,46,25,9,1,11,53,20.0,46,17.4,85,424,0.215,0.19,0.358,0.338,0.421,0.295,0.346,0.296,0.23,20.0,87.0,19.0,30.1,6,3.7,2.3,3.1,0.30802292263610315,0.9484240687679083,0.07306590257879657,0.12464183381088825,0.33954154727793695,0.15902578796561603,0.33954154727793695,0.8839541547277937,0.2148997134670487,0.23638968481375358,0.09455587392550144
660636,Diego A. Castillo,1157,283,236,202,68,48,13,2,5,37,13.1,41,14.5,70,402,0.288,0.233,0.396,0.352,0.424,0.329,0.364,0.311,0.32,17.4,87.9,10.0,32.7,5,2.5,1.8,5.3,0.05157593123209169,0.7936962750716332,0.5085959885386819,0.30659025787965616,0.498567335243553,0.07879656160458452,0.45988538681948427,0.24641833810888253,0.3166189111747851,0.14040114613180515,0.5873925501432665
670242,Matt Wallner,1156,297,259,171,67,32,15,1,19,91,30.6,32,10.8,196,589,0.259,0.24,0.343,0.33,0.544,0.491,0.378,0.356,0.316,33.3,92.0,17.0,47.4,26,15.2,8.8,4.0,0.8681948424068768,0.42550143266475643,0.6375358166189111,0.9627507163323782,0.8911174785100286,0.839541547277937,0.9742120343839542,0.7535816618911175,0.9426934097421203,0.9656160458452722,0.23925501432664756
663796,Coco Montes,1148,297,254,205,85,54,16,6,9,54,18.2,37,12.5,111,537,0.335,0.288,0.414,0.377,0.551,0.465,0.412,0.367,0.388,20.7,89.7,12.0,42.9,18,8.8,6.1,4.9,0.20773638968481375,0.6532951289398281,0.9713467048710601,0.9183381088825215,0.9283667621776505,0.17621776504297995,0.7765042979942693,0.3982808022922636,0.7679083094555874,0.7349570200573066,0.4828080229226361
669288,Daniel Johnson,1147,280,247,184,70,43,13,1,13,67,23.9,25,8.9,173,580,0.283,0.257,0.354,0.334,0.502,0.412,0.368,0.328,0.333,29.8,89.5,15.0,41.8,17,9.2,6.1,7.4,0.5472779369627507,0.2607449856733524,0.835243553008596,0.7449856733524355,0.664756446991404,0.6776504297994269,0.7378223495702005,0.6318051575931232,0.7191977077363897,0.7693409742120344,0.9255014326647565
